text_id,text
1000,从北京飞往厦门的飞机上，我邻座的小姐，她穿了一身运动装，我看着她，她看着我，然后，我突然就饿了。
1001,十一国庆节到了，北京肯定很拥挤，哪里好玩呢？说说看北京
1002,怎么还六月飞雪了呢，宁波晚报网友播报雨和雪都横着在飘也在沧海路和百丈东路交叉口吗？二二二理斯下雪了雨和雪都横着在飘
1003,发表了博文《飞翔马户外冲锋衣怎么样》-飞翔马户外儿童冲锋衣、抓绒服、冲锋裤、登山包、徒步鞋怎么样，质量好不好？不错，女儿穿上去比图片上的小模特漂亮多了。建议更换小模特图片，真的很不神气呢。
1004,唉马靖昊说会计厚林兄弟，真的对不起李厚林：我想我要看一个月的新闻联播才可以治好此博的影响了。
1005,謝謝洛阳皇朝萬鑫酒店的感動，[哈哈]昨晚喝開心了再見，啟程去北京！
1006,啊啊啊啊啊！@碧落食人来@晏小花正太太萌啊！//@墨家道具组Hana花娘:啊啊啊啊！@大兔吱爱小小兔QWQ阿姨这里有糖葫芦酷爱过来窝这里QvQ！
1007,哈哈，把手机都没收没收新浪校园挖鼻屎挖鼻屎这个你们觉得如何？手机签到制度桂林校园挖鼻屎辣么多人有两只手机呢
1008,太感谢你一直安慰我奇怪的黑发，不要说我鞭策你，我们一起努力和你一起真的很容易吃很多诶下星期一起羽毛球爱你爱你爱你爱你我下周就去买了那条裙子和你姐妹装啦
1009,首先你得要有对象，有得生，其次是儿子，然后有干净的海滩[挖鼻屎]
1010,发表了博文《飞翔马户外冲锋衣怎么样》-飞翔马户外儿童冲锋衣、抓绒服、冲锋裤、登山包、徒步鞋怎么样，质量好不好？不错，女儿穿上去比图片上的小模特漂亮多了。建议更换小模特图片，真的很不神气呢。
1011,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1012,//@任志强:故意？//@段钢:10、毒剂是从哪里买的？以什么理由买的？20、以往的毒狗都卖到那些餐馆了？30、明显是过失杀人罪，不知为何没提？仅以过失危害公共安全论罪，漏罪未判？//@北京厨子:杀人者才蹲20年半的监狱。//@猫胖鼠胖:至少应该按过失杀人论处。//@陈士渠:个人认为量刑太轻。
1013,哈哈，把手机都没收没收新浪校园挖鼻屎挖鼻屎这个你们觉得如何？手机签到制度桂林校园挖鼻屎辣么多人有两只手机呢
1014,唉马靖昊说会计厚林兄弟，真的对不起李厚林：我想我要看一个月的新闻联播才可以治好此博的影响了。
1015,唉马靖昊说会计厚林兄弟，真的对不起李厚林：我想我要看一个月的新闻联播才可以治好此博的影响了。
1016,//@任志强:故意？//@段钢:10、毒剂是从哪里买的？以什么理由买的？20、以往的毒狗都卖到那些餐馆了？30、明显是过失杀人罪，不知为何没提？仅以过失危害公共安全论罪，漏罪未判？//@北京厨子:杀人者才蹲20年半的监狱。//@猫胖鼠胖:至少应该按过失杀人论处。//@陈士渠:个人认为量刑太轻。
1017,老百姓心新乡新闻网话说这几天新乡天气还好吧偷笑
1018,追逐繁星的孩子太腐败了，以前有觉悟不怕死可以入党，现在是又钱有权才可以入。偏离了毛爷爷的思想路线鄙视
1019,追逐繁星的孩子太腐败了，以前有觉悟不怕死可以入党，现在是又钱有权才可以入。偏离了毛爷爷的思想路线鄙视
1020,2051公斤的女人已经out了！！俄罗斯美女已经瘦到了2001公斤，女人伤不起啊！！「新浪上海」
1021,两天的培训会终于结束了[浮云]淡淡的压力来了唉～@AF丶L@Chicken_翼@張煒魚难得一齐同公司努力啊兄弟们下个月一定要回去开会啊倾几家伊卡璐回来[钱]要不就回罗定卖奶茶
1022,刚才退宿，比那个宿管阿姨气到我吐血。她说我是我们宿舍最后一个退宿，一定要搞好卫生才能办理手续。刚才听到这句话，我就跟她吵架，我说我都没有住过宿，干嘛要我搞卫生。为了这个问题，我跟她吵了几分钟。真是气到我哭了泪我在
1023,刚才退宿，比那个宿管阿姨气到我吐血。她说我是我们宿舍最后一个退宿，一定要搞好卫生才能办理手续。刚才听到这句话，我就跟她吵架，我说我都没有住过宿，干嘛要我搞卫生。为了这个问题，我跟她吵了几分钟。真是气到我哭了泪我在
1024,怎么还六月飞雪了呢，宁波晚报网友播报雨和雪都横着在飘也在沧海路和百丈东路交叉口吗？二二二理斯下雪了雨和雪都横着在飘
1025,2051公斤的女人已经out了！！俄罗斯美女已经瘦到了2001公斤，女人伤不起啊！！「新浪上海」
1026,謝謝瀋陽皇朝萬鑫酒店的感動，[哈哈]昨晚喝開心了再見，啟程去北京！
1027,两天的培训会终于结束了[浮云]淡淡的压力来了唉～@AF丶L@Chicken_翼@張煒魚难得一齐同公司努力啊兄弟们下个月一定要回去开会啊倾几家伊卡璐回来[钱]要不就回罗定卖奶茶
1028,两天的培训会终于结束了[浮云]淡淡的压力来了唉～@AF丶L@Chicken_翼@張煒魚难得一齐同公司努力啊兄弟们下个月一定要回去开会啊倾几家伊卡璐回来[钱]要不就回罗定卖奶茶
1029,2051公斤的女人已经out了！！俄罗斯美女已经瘦到了2001公斤，女人伤不起啊！！「新浪上海」
1030,唉马靖昊说会计厚林兄弟，真的对不起李厚林：我想我要看一个月的新闻联播才可以治好此博的影响了。
1031,追逐繁星的孩子太腐败了，以前有觉悟不怕死可以入党，现在是又钱有权才可以入。偏离了毛爷爷的思想路线鄙视
1032,十一国庆节到了，北京肯定很拥挤，哪里好玩呢？说说看
1033,唉马靖昊说会计厚林兄弟，真的对不起李厚林：我想我要看一个月的新闻联播才可以治好此博的影响了。
1034,两天的培训会终于结束了[浮云]淡淡的压力来了唉～@AF丶L@Chicken_翼@張煒魚难得一齐同公司努力啊兄弟们下个月一定要回去开会啊倾几家伊卡璐回来[钱]要不就回罗定卖奶茶
1035,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1036,太感谢你一直安慰我奇怪的黑发，不要说我鞭策你，我们一起努力和你一起真的很容易吃很多诶下星期一起羽毛球爱你爱你爱你爱你我下周就去买了那条裙子和你姐妹装啦
1037,2051公斤的女人已经out了！！俄罗斯美女已经瘦到了2001公斤，女人伤不起啊！！「新浪上海」
1038,追逐繁星的孩子太腐败了，以前有觉悟不怕死可以入党，现在是又钱有权才可以入。偏离了毛爷爷的思想路线鄙视
1039,老百姓心新乡新闻网话说这几天新乡天气还好吧偷笑
1040,追逐繁星的孩子太腐败了，以前有觉悟不怕死可以入党，现在是又钱有权才可以入。偏离了毛爷爷的思想路线鄙视
1041,啊啊啊啊啊！@碧落食人来@晏小花正太太萌啊！//@墨家道具组Hana花娘:啊啊啊啊！@大兔吱爱小小兔QWQ阿姨这里有糖葫芦酷爱过来窝这里QvQ！
1042,太感谢你一直安慰我奇怪的黑发，不要说我鞭策你，我们一起努力和你一起真的很容易吃很多诶下星期一起羽毛球爱你爱你爱你爱你我下周就去买了那条裙子和你姐妹装啦
1043,发表了博文《飞翔马户外冲锋衣怎么样》-飞翔马户外儿童冲锋衣、抓绒服、冲锋裤、登山包、徒步鞋怎么样，质量好不好？不错，女儿穿上去比图片上的小模特漂亮多了。建议更换小模特图片，真的很不神气呢。
1044,首先你得要有对象，有得生，其次是儿子，然后有干净的海滩[挖鼻屎]
1045,//@任志强:故意？//@段钢:10、毒剂是从哪里买的？以什么理由买的？20、以往的毒狗都卖到那些餐馆了？30、明显是过失杀人罪，不知为何没提？仅以过失危害公共安全论罪，漏罪未判？//@北京厨子:杀人者才蹲20年半的监狱。//@猫胖鼠胖:至少应该按过失杀人论处。//@陈士渠:个人认为量刑太轻。
1046,首先你得要有对象，有得生，其次是儿子，然后有干净的海滩[挖鼻屎]
1047,刚才退宿，比那个宿管阿姨气到我吐血。她说我是我们宿舍最后一个退宿，一定要搞好卫生才能办理手续。刚才听到这句话，我就跟她吵架，我说我都没有住过宿，干嘛要我搞卫生。为了这个问题，我跟她吵了几分钟。真是气到我哭了泪我在
1048,2051公斤的女人已经out了！！俄罗斯美女已经瘦到了2001公斤，女人伤不起啊！！「新浪上海」
1049,十一国庆节到了，北京肯定很拥挤，哪里好玩呢？说说看
1050,哈哈，把手机都没收没收新浪校园挖鼻屎挖鼻屎这个你们觉得如何？手机签到制度桂林校园挖鼻屎辣么多人有两只手机呢
1051,太感谢你一直安慰我奇怪的黑发，不要说我鞭策你，我们一起努力和你一起真的很容易吃很多诶下星期一起羽毛球爱你爱你爱你爱你我下周就去买了那条裙子和你姐妹装啦
1052,发表了博文《飞翔马户外冲锋衣怎么样》-飞翔马户外儿童冲锋衣、抓绒服、冲锋裤、登山包、徒步鞋怎么样，质量好不好？不错，女儿穿上去比图片上的小模特漂亮多了。建议更换小模特图片，真的很不神气呢。
1053,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1054,老百姓心新乡新闻网话说这几天新乡天气还好吧偷笑
1055,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1056,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1057,两天的培训会终于结束了[浮云]淡淡的压力来了唉～@AF丶L@Chicken_翼@張煒魚难得一齐同公司努力啊兄弟们下个月一定要回去开会啊倾几家伊卡璐回来[钱]要不就回罗定卖奶茶
1058,啊啊啊啊啊！@碧落食人来@晏小花正太太萌啊！//@墨家道具组Hana花娘:啊啊啊啊！@大兔吱爱小小兔QWQ阿姨这里有糖葫芦酷爱过来窝这里QvQ！
1059,能为两位服务我很开心。虽然新娘子还没找到镜头呢。@南宁巴黎婚纱[偷笑]
1060,怎么还六月飞雪了呢，宁波晚报网友播报雨和雪都横着在飘也在沧海路和百丈东路交叉口吗？二二二理斯下雪了雨和雪都横着在飘
1061,首先你得要有对象，有得生，其次是儿子，然后有干净的海滩[挖鼻屎]
1062,十一国庆节到了，北京肯定很拥挤，哪里好玩呢？说说看
